UTM E, UTM N
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.50070082
369387.76289057,3280338.56196188
369387.76289057,3280338.50070082
369387.76289057,3280338.81407469
369387.76289057,3280339.18870961
369387.76289057,3280339.5774817
369387.76289057,3280339.87436221
369387.952620534,3280338.16599109
369387.952620534,3280338.54062601
369387.952620534,3280338.82572554
369387.952620534,3280338.96002863
369387.952620534,3280339.08490694
369390.437187898,3280335.36621644
369390.437187898,3280335.30731158
369390.437187898,3280335.17772088
369390.437187898,3280335.01514346
369390.437187898,3280334.82193552
369390.801153814,3280333.36698143
369390.801153814,3280333.27273365
369390.801153814,3280333.21147259
369390.801153814,3280333.2067602
369390.801153814,3280333.20440401
369391.753678223,3280332.02588699
369391.753678223,3280331.91514585
369391.753678223,3280331.91985824
369391.753678223,3280331.91985824
369391.753678223,3280331.9787631
369391.363888369,3280331.80876256
369391.363888369,3280332.06794395
369391.363888369,3280332.41666074
369391.363888369,3280332.7323908
369391.363888369,3280332.97272264
369390.882461389,3280332.0360379
369390.882461389,3280332.34469938
369390.882461389,3280332.66985422
369390.882461389,3280332.9361042
369390.882461389,3280333.25183426
369390.882461389,3280333.50159087
369388.404349211,3280335.68207037
369388.404349211,3280335.91297743
369388.404349211,3280336.14388449
369388.404349211,3280336.43605261
369388.404349211,3280335.38990226
369388.404349211,3280335.73155046
369388.404349211,3280335.99780043
369388.404349211,3280336.25462563
369388.404349211,3280336.45490216
369388.494694979,3280334.83468449
369388.494694979,3280335.16455172
369388.494694979,3280335.51326851
369388.494694979,3280335.89025963
369388.494694979,3280336.27196313
369387.720280199,3280334.84370775
369387.720280199,3280335.05576526
369387.720280199,3280335.2913847
369387.720280199,3280335.39034487
369387.720280199,3280335.64952627
369387.898389246,3280333.51163628
369387.898389246,3280333.87449023
369387.898389246,3280334.28918046
369387.898389246,3280334.61669149
369387.898389246,3280334.88529767
369387.223358689,3280333.7411676
369387.223358689,3280333.76472954
369387.223358689,3280333.76472954
369387.223358689,3280333.76472954
369387.223358689,3280333.82834679
369386.26567001,3280334.63899056
369386.26567001,3280335.03247504
369386.26567001,3280335.36705466
369386.26567001,3280335.60031791
369386.26567001,3280335.90662319
369386.078522505,3280335.19533627
369386.078522505,3280335.36969466
369386.078522505,3280335.44273669
369386.078522505,3280335.64772561
369386.078522505,3280336.00822337
369386.960068954,3280336.07172875
369386.960068954,3280336.39688359
369386.960068954,3280336.7361756
369386.960068954,3280337.00949416
369386.960068954,3280337.26396316
369388.232696242,3280337.27606358
369388.232696242,3280337.31611889
369388.232696242,3280337.3137627
369388.232696242,3280337.3137627
369388.232696242,3280337.3114065
369388.927094784,3280338.70880189
369388.927094784,3280338.89022887
369388.927094784,3280339.0905054
369388.927094784,3280339.4297974
369388.927094784,3280339.69133499
369388.255938186,3280339.27078708
369388.255938186,3280339.60772289
369388.255938186,3280339.92345295
369388.255938186,3280340.30986885
369388.255938186,3280340.75283341
369388.079120449,3280340.71367653
369388.079120449,3280341.04354376
369388.079120449,3280341.46530258
369388.079120449,3280341.74568972
369388.079120449,3280342.12503703
369388.290801127,3280342.26287233
369388.290801127,3280342.47021744
369388.290801127,3280342.61158911
369388.290801127,3280342.62572628
369388.290801127,3280342.62337009
369385.433232621,3280346.28615698
369385.433232621,3280346.55476315
369385.433232621,3280346.89169897
369385.433232621,3280347.23570336
369385.433232621,3280347.50430953
369383.725665377,3280349.29854523
369383.725665377,3280349.76507174
369383.725665377,3280350.00775977
369383.725665377,3280350.37532612
369383.725665377,3280350.73111148
369383.725665377,3280351.05391013
369379.9633112,3280350.70989705
369379.9633112,3280351.04447666
369379.9633112,3280351.3719877
369379.9633112,3280351.74191023
369379.9633112,3280350.45071565
369379.9633112,3280350.87954305
369379.9633112,3280351.2871647
369379.9633112,3280351.52985273
369379.9633112,3280351.83615801
369377.933057831,3280350.69603942
369377.933057831,3280351.02826284
369377.933057831,3280351.38404821
369377.933057831,3280351.63851721
369377.933057831,3280351.92126055
369378.366704864,3280346.36849837
369378.366704864,3280346.71014657
369378.366704864,3280346.99053372
369378.366704864,3280347.2567837
369378.366704864,3280347.51832128
369377.880113459,3280346.15250241
369377.880113459,3280346.48472583
369377.880113459,3280346.84757978
369377.880113459,3280347.23870807
369377.880113459,3280347.72644033
369379.425067573,3280345.80200061
369379.425067573,3280346.34863773
369379.425067573,3280346.90234343
369379.425067573,3280347.32410225
369379.425067573,3280347.31232127
369379.425067573,3280347.30996508
369380.294992068,3280345.6810308
369380.294992068,3280345.6810308
369380.294992068,3280345.6810308
369380.294992068,3280345.6810308
369380.8770939,3280345.78508092
369380.8770939,3280345.78508092
369380.8770939,3280345.78508092
369380.8770939,3280345.78508092
369380.8770939,3280345.78508092
369380.8770939,3280345.78508092
369379.423776263,3280345.69118263
369379.423776263,3280345.69118263
369379.423776263,3280345.69118263
369379.423776263,3280345.69118263
369379.423776263,3280345.69118263
369380.382754724,3280344.90417699
369380.382754724,3280344.90417699
369380.382754724,3280344.90417699
369380.382754724,3280344.90417699
369380.289826864,3280345.2377589
369380.289826864,3280345.2377589
369380.289826864,3280345.2377589
369380.289826864,3280345.2377589
369380.289826864,3280345.2377589
369380.289826864,3280345.2377589
369379.804526758,3280345.13258082
369379.804526758,3280345.13258082
369379.804526758,3280345.13258082
369379.804526758,3280345.13258082
369379.128205742,3280345.25129469
369379.128205742,3280345.25129469
369379.128205742,3280345.25129469
369379.128205742,3280345.25129469
369379.128205742,3280345.26071947
369378.650653526,3280345.81102452
369378.650653526,3280345.81102452
369378.650653526,3280345.81102452
369378.650653526,3280345.81102452
369378.650653526,3280345.81102452
369377.979497861,3280346.37301036
369377.979497861,3280346.37301036
369377.979497861,3280346.37301036
369377.979497861,3280346.37301036
369377.979497861,3280346.37301036
369379.138536244,3280346.13783849
369379.138536244,3280346.13783849
369379.138536244,3280346.13783849
369379.138536244,3280346.13783849
369379.138536244,3280346.13783849
369379.810983288,3280345.6866707
369379.810983288,3280345.6866707
369379.810983288,3280345.6866707
369379.810983288,3280345.83982334
369379.810983288,3280345.9434959
369379.618671085,3280345.79974464
369379.618671085,3280345.79031986
369379.618671085,3280345.79031986
369379.618671085,3280345.79031986
369379.618671085,3280345.79031986
369380.367259127,3280343.5743613
369380.367259127,3280343.8288303
369380.367259127,3280344.09272409
369380.367259127,3280344.42730371
369380.367259127,3280344.79487005
369381.030667328,3280342.34746777
369381.030667328,3280342.66555402
369381.030667328,3280342.96479072
369381.030667328,3280343.36769998
369381.030667328,3280343.75647207
369381.521132689,3280342.89591779
369381.521132689,3280343.41192439
369381.521132689,3280343.92793098
369381.521132689,3280344.45807474
369381.521132689,3280344.61358358
369383.270021076,3280343.4297044
369383.270021076,3280343.4320606
369383.270021076,3280343.44619776
369383.270021076,3280343.85146322
369383.270021076,3280344.39810034
369383.270021076,3280344.66199412
369383.760486282,3280343.97815453
369383.760486282,3280343.97815453
369383.760486282,3280343.97815453
369383.760486282,3280343.97815453
369383.199044744,3280345.64719184
369383.199044744,3280345.64719184
369383.199044744,3280345.64954803
369383.199044744,3280345.64954803
369383.199044744,3280345.64719184
369383.019645253,3280346.86844546
369383.019645253,3280346.86844546
369383.019645253,3280346.86844546
369383.019645253,3280346.86844546
369383.019645253,3280346.86844546
369382.751191746,3280348.75573489
369382.751191746,3280348.75573489
369382.751191746,3280348.75573489
369382.751191746,3280348.75573489
369382.751191746,3280348.75573489
369383.032558004,3280347.9766252
369383.032558004,3280347.9766252
369383.032558004,3280347.9766252
369383.032558004,3280347.9766252
369383.032558004,3280347.9766252
369383.328128301,3280348.41651324
369383.328128301,3280348.41651324
369383.328128301,3280348.41651324
369383.328128301,3280348.42593802
369383.328128301,3280348.42593802
369383.328128301,3280348.42593802
369382.841537086,3280348.20522945
369382.841537086,3280348.20758565
369382.841537086,3280348.20758565
369382.841537086,3280348.20758565
369382.841537086,3280348.20051706
369382.841537086,3280348.20051706
369382.841537086,3280348.20051706
369382.841537086,3280348.20051706
369382.841537086,3280348.20051706
369382.851867306,3280349.08706086
369382.851867306,3280349.27320023
369382.851867306,3280349.5842179
369382.851867306,3280349.91172893
369382.851867306,3280350.02953866
369382.363984832,3280348.76024673
369382.363984832,3280348.72490381
369382.363984832,3280348.72490381
369382.363984832,3280348.72490381
369382.363984832,3280348.72490381
369383.374614139,3280352.40596033
369383.374614139,3280352.40596033
369383.374614139,3280352.40596033
369383.374614139,3280352.42480989
369383.374614139,3280352.55911298
369384.070303767,3280353.94951633
369384.070303767,3280354.16393003
369384.070303767,3280354.39954948
369384.070303767,3280354.60689459
369384.070303767,3280354.66815565
369385.071893329,3280356.81950425
369385.071893329,3280356.81007947
369385.071893329,3280357.17057723
369385.071893329,3280357.51458162
369385.071893329,3280357.95754619
369385.126126255,3280361.47385923
369385.126126255,3280361.55868223
369385.126126255,3280361.51627073
369385.126126255,3280361.49742117
369385.126126255,3280361.49742117
369385.126126255,3280361.49742117
369385.872174115,3280367.39350887
369385.872174115,3280367.22857526
369385.872174115,3280367.07071023
369385.872174115,3280367.12019031
369385.91349434,3280370.88549166
369385.91349434,3280370.88549166
369385.91349434,3280370.88549166
369385.91349434,3280370.88549166
369385.91349434,3280370.88549166
369386.361346958,3280367.77694863
369386.361346958,3280367.77694863
369386.361346958,3280367.77694863
369386.361346958,3280367.77694863
369386.361346958,3280367.77694863
369386.152248789,3280366.44938878
369386.152248789,3280366.44703259
369386.152248789,3280366.44703259
369386.152248789,3280366.44703259
369386.152248789,3280366.44703259
369385.935403053,3280364.45692108
369385.935403053,3280364.33439896
369385.935403053,3280364.21894543
369385.935403053,3280364.11998526
369385.935403053,3280364.01160032
369386.388421034,3280361.79164999
369386.388421034,3280361.79400618
369386.388421034,3280361.79400618
369386.388421034,3280361.79400618
369386.388421034,3280361.86233582
369386.388421034,3280362.10738005
369386.575568032,3280361.47799228
369386.575568032,3280361.95394357
369386.575568032,3280362.31208513
369386.575568032,3280362.75976208
369386.55878183,3280359.79467057
369386.55878183,3280360.31303336
369386.55878183,3280360.7230112
369386.55878183,3280361.16361957
369386.55878183,3280361.55239166
369384.813769919,3280359.59333746
369384.813769919,3280359.76298346
369384.813769919,3280359.82660072
369384.813769919,3280359.8313131
369384.813769919,3280359.8336693
369384.813769919,3280359.83602549
369383.361745397,3280359.6102567
369383.361745397,3280359.6102567
369383.361745397,3280359.83409518
369383.361745397,3280360.17103099
369383.361745397,3280360.55744689
369380.782966455,3280362.63279719
369380.782966455,3280362.78830603
369380.782966455,3280362.78830603
369380.782966455,3280362.89904717
369380.782966455,3280362.98622637
369380.782966455,3280363.05455601
369380.782966455,3280363.0592684
369380.782966455,3280363.0592684
369380.782966455,3280363.05219981
369380.782966455,3280363.04984362
369380.782966455,3280363.05219981
369380.782966455,3280363.05219981
369380.782966455,3280362.63279719
369380.782966455,3280362.8424985
369380.782966455,3280363.04513123
369380.782966455,3280363.25954493
369380.782966455,3280363.29253165
369378.889547957,3280366.3170626
369378.889547957,3280366.57153161
369378.889547957,3280366.80243867
369378.889547957,3280366.89904264
369378.889547957,3280366.95323511
369378.889547957,3280367.15351164
369374.862622618,3280369.91281705
369374.862622618,3280370.17199845
369374.862622618,3280370.3652064
369374.862622618,3280371.03200944
369374.862622618,3280371.2605603
369374.862622618,3280371.3453833
369373.584831782,3280368.09792204
369373.584831782,3280368.86839764
369373.584831782,3280368.95086444
369373.584831782,3280369.33256795
369373.584831782,3280369.6530104
369373.584831782,3280369.6954219
369373.584831782,3280369.6954219
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369373.584831782,3280368.04372956
369376.179054137,3280358.03145805
369376.179054137,3280358.03145805
369376.179054137,3280358.03145805
369376.179054137,3280358.02910186
369376.179054137,3280358.05266381
369376.179054137,3280358.24351556
,  
