UTM E, UTM N
369382.66338490555 ,  3280341.220112651
369359.5380876003 ,  3280342.3762618736
369357.591719581 ,  3280341.5122813266
369355.8467041095 ,  3280341.3109526103
369354.38434464496 ,  3280340.4413316776
369353.3982446485 ,  3280338.9011619934
369352.23274804116 ,  3280338.58224661
369351.65193708596 ,  3280338.589015933
369352.13982094603 ,  3280338.915828769
369353.8938777972 ,  3280339.8928827858
369354.55340876494 ,  3280338.3335336554
369355.02321088285 ,  3280337.1088948995
369358.1957157705 ,  3280335.1877593286
369359.62837107334 ,  3280333.5085672676
369360.1020484526 ,  3280332.616382691
369360.57443442097 ,  3280331.6133801625
369361.0571523546 ,  3280331.496921476
369361.2675454043 ,  3280332.935298906
369361.577323233 ,  3280334.594184159
369361.57990619517 ,  3280334.815820114
369363.04872310266 ,  3280336.2395318756
369363.7366676899 ,  3280337.1181788486
369364.72018345934 ,  3280338.436713438
369366.4690734562 ,  3280338.9704974755
369366.9634139861 ,  3280339.8514008266
369366.97891115234 ,  3280341.1812165547
369366.70142009424 ,  3280342.292780608
369366.03284765186 ,  3280343.0764031336
369364.58211235725 ,  3280343.2041427107
369362.8358058521 ,  3280342.8919949406
369360.90235311684 ,  3280343.1361936233
369358.77658839937 ,  3280343.4934669463
369357.50524997996 ,  3280342.399953338
369357.4794194881 ,  3280340.183593744
369359.3960831312 ,  3280338.498760762
369361.80967133824 ,  3280337.916467228
369363.0706780519 ,  3280338.1234374964
369363.9483517882 ,  3280338.667374301
369365.31132596754 ,  3280339.31648861
369367.2589851292 ,  3280340.291288466
369368.620667494 ,  3280340.8295851885
369368.4386866379 ,  3280341.8292031386
369368.1482812597 ,  3280341.83258738
369368.1444070014 ,  3280341.5001334473
369368.9020330184 ,  3280340.050475123
369367.62423816 ,  3280338.402870509
369367.21249376255 ,  3280336.3018412953
369369.53186373715 ,  3280335.9423134974
369371.9506184451 ,  3280335.803294086
369373.9834571623 ,  3280335.7796052857
369374.86500455934 ,  3280336.6559968553
369375.649749991 ,  3280337.533516504
369376.81782858714 ,  3280338.0740702506
369377.79876004107 ,  3280339.170969981
369379.06880540587 ,  3280340.153667854
369380.0497364605 ,  3280341.250567769
369380.8370637577 ,  3280342.3497237084
369381.2281447698 ,  3280342.6776657486
369381.0409976684 ,  3280343.2340115597
369381.51209367573 ,  3280342.1201919755
369381.9986851732 ,  3280342.336188102
369382.9899459413 ,  3280344.319632052
369383.29972031445 ,  3280345.9785178048
369384.7582028901 ,  3280346.515688488
369384.25482522236 ,  3280344.859058587
369386.1456669917 ,  3280340.957870829
369385.8617178282 ,  3280341.515344475
369384.8807873879 ,  3280340.418444071
369382.5033545487 ,  3280344.1036358867
369380.29886597226 ,  3280346.0134847206
369379.3205179506 ,  3280345.1382207414
369379.1010881871 ,  3280342.924117217
369380.0252017378 ,  3280339.1450262605
369381.63467660116 ,  3280336.022947499
369384.297351621 ,  3280331.8910998814
369388.0583820676 ,  3280322.3156375447
369391.2501916119 ,  3280305.4318303596
369393.79670867254 ,  3280299.638843956
369394.08711511997 ,  3280299.635460419
369393.77605034265 ,  3280297.8657565196
369393.7515185891 ,  3280295.760215193
369394.78019086475 ,  3280292.6449059476
369393.79925734247 ,  3280291.548004713
369393.5023949609 ,  3280290.997298432
369393.4765720739 ,  3280288.7809391604
369393.7372825686 ,  3280286.2287424714
369396.1199283657 ,  3280291.2993007633
369395.7714531861 ,  3280294.6283509717
369394.2342383642 ,  3280295.6437580083
369393.59277519095 ,  3280298.7545559327
369392.42211118975 ,  3280297.9923644178
369392.59634816856 ,  3280296.3278392316
369393.5759902764 ,  3280297.3139223903
