UTM E, UTM N
369342.78211697564 ,  3280316.858288793
369342.9718460381 ,  3280316.5235782694
369342.29681522615 ,  3280316.753112288
369341.4230137223 ,  3280316.5416310355
369340.3556081377 ,  3280316.332406476
369339.383712839 ,  3280316.011235714
369338.80031729286 ,  3280315.796369699
369337.8284219002 ,  3280315.475199069
369336.9468699039 ,  3280314.598810274
369336.1595363748 ,  3280313.4996572323
369335.3722026902 ,  3280312.4005042417
369334.6894213413 ,  3280311.9651308283
369334.19507710764 ,  3280311.084228797
369334.18603492447 ,  3280310.3085029298
369334.16536708473 ,  3280308.53541524
369334.1563249081 ,  3280307.759689377
369334.14986621164 ,  3280307.2055994743
369333.6503547727 ,  3280305.8814255428
369333.15988545964 ,  3280305.3329774924
369332.9585307208 ,  3280304.6703263572
369332.85526984464 ,  3280304.117364831
369332.9365709806 ,  3280302.7864206955
369333.60126854846 ,  3280301.670342302
369334.2763001338 ,  3280301.440807792
369335.23657130497 ,  3280300.7646163427
369336.2020094555 ,  3280300.5316968956
369337.25004104804 ,  3280299.078651435
369338.202562431 ,  3280297.7375523886
369338.77433370956 ,  3280296.9550566
369339.3448133872 ,  3280296.061742866
369339.80686585786 ,  3280294.172195682
369340.4702729816 ,  3280292.9452997767
369341.23952412535 ,  3280292.4930014536
369342.2101297058 ,  3280292.703354462
369342.8877452848 ,  3280292.6954564503
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
166021.4431793313 ,  0.0
369361.4545157572 ,  3280307.4415238257
369359.8308354473 ,  3280309.3446076983
369359.3571569958 ,  3280310.2367922226
369361.7552537709 ,  3280308.324683233
369362.05082587944 ,  3280308.7645707536
369362.72327461484 ,  3280308.313402011
369362.7284404441 ,  3280308.7566739065
369363.02013813896 ,  3280308.8641075287
369363.22019956255 ,  3280309.4159411676
369363.03692705167 ,  3280310.304741188
369363.4267182241 ,  3280310.5218646787
369364.39215598954 ,  3280310.288947647
369364.8839149449 ,  3280310.9482149766
369365.1820697326 ,  3280311.6097385213
369364.91103513335 ,  3280313.2753924243
369363.00986367086 ,  3280316.290039917
369361.18095718423 ,  3280317.198018113
369360.70857047633 ,  3280318.2010205747
369358.69380951516 ,  3280319.776163333
369356.8726530564 ,  3280321.3490501316
369356.100820324 ,  3280321.5797114945
369355.8039567507 ,  3280321.0290061496
369355.5987289957 ,  3280320.03390072
369355.3986673489 ,  3280319.482067203
369355.37929432915 ,  3280317.8197975494
369353.65623152204 ,  3280319.502374665
369352.8779409167 ,  3280319.178946357
369352.00413983566 ,  3280318.9674642934
369350.5714836429 ,  3280320.6466572704
369349.9971297005 ,  3280321.2075165384
369348.6509432364 ,  3280321.999037721
369349.31951585825 ,  3280321.2154141827
369350.08101579524 ,  3280320.098208522
