UTM E, UTM N
0.0 ,  0.0
369334.1030416565 ,  3280309.5832143356
369334.16512116726 ,  3280308.427030572
369334.1350194816 ,  3280308.2795631993
369333.982656307 ,  3280307.9529728545
369334.12715810846 ,  3280307.6675943714
369334.0750635892 ,  3280307.481554186
369333.97458839725 ,  3280307.1429685922
369333.90334153996 ,  3280307.0022461945
369334.0215017431 ,  3280307.0679440824
369333.877157341 ,  3280306.9581702715
369333.5674412509 ,  3280306.727178387
369333.6142187987 ,  3280305.8511790163
369333.3107879459 ,  3280305.572128171
369333.18360851886 ,  3280305.4363542986
369333.1019917749 ,  3280305.255645012
369332.998902962 ,  3280305.109250364
369332.8046972723 ,  3280304.7890101136
369332.9240376223 ,  3280304.587705982
369332.86034664925 ,  3280304.4203837765
369332.7593282496 ,  3280304.0671607056
369332.7197728414 ,  3280303.878052809
369332.80520975107 ,  3280303.829693756
369332.7736569192 ,  3280303.4377233665
369332.77553493314 ,  3280303.2421744196
369332.9650456536 ,  3280302.4720702334
369333.0260832304 ,  3280302.0643910016
369333.0717219867 ,  3280301.8549357913
369333.7006468846 ,  3280301.343620266
369333.727484172 ,  3280301.1574417534
369333.7751907755 ,  3280300.753004834
369334.3639322577 ,  3280301.105822611
369334.430815228 ,  3280300.904630924
369334.57746276306 ,  3280300.5370336496
369335.2781330692 ,  3280300.6722174785
369335.47046729585 ,  3280300.310345583
369335.5883549888 ,  3280300.131283957
369336.2681197428 ,  3280300.451840058
369336.4054151518 ,  3280300.2965335893
369336.6941271035 ,  3280300.0191730484
369336.8328823117 ,  3280299.87163863
369337.4623088814 ,  3280298.8481465233
369337.71601417323 ,  3280298.6127343043
369337.86973857996 ,  3280298.4918509508
369338.33942141355 ,  3280297.6455072025
369338.4357645185 ,  3280297.581888516
369338.56165232114 ,  3280297.498878837
369338.8468794262 ,  3280296.902580842
369338.9996740743 ,  3280296.8049985133
369339.32480010507 ,  3280296.68066818
369339.43435128004 ,  3280296.0323216203
369339.5649407045 ,  3280295.984693338
369339.90332450025 ,  3280295.8352878443
369340.07103972405 ,  3280295.760137258
369340.0426600491 ,  3280294.0646268926
369340.20722204744 ,  3280293.988326133
369340.4966999302 ,  3280293.874669765
369340.55305385846 ,  3280292.917959003
369340.88078136643 ,  3280292.8306474714
369341.0624942593 ,  3280292.7903007744
369341.32519800804 ,  3280292.4768713783
369341.5034281351 ,  3280292.443014066
369341.8638982249 ,  3280292.409187801
369342.0498797589 ,  3280292.4154912853
369342.50166599324 ,  3280292.7222245345
369342.69196821837 ,  3280292.736627869
369343.05120353535 ,  3280292.766639796
369342.97913661087 ,  3280292.7049690313
369343.3323634062 ,  3280292.747191061
369343.68466319755 ,  3280292.796672921
369343.8802591656 ,  3280292.8268853775
369344.2526194356 ,  3280292.8857623627
369344.43812819663 ,  3280292.9191089026
369344.8027296478 ,  3280292.994012216
369344.9911065425 ,  3280293.03693016
369345.3719934741 ,  3280293.135647518
369345.5557481379 ,  3280293.1872055023
369345.8848522107 ,  3280293.2872593338
369346.03949706774 ,  3280293.3507136917
369346.3587633913 ,  3280293.518113972
369346.52479360974 ,  3280293.602260141
369346.8511903881 ,  3280293.7658309317
369347.00474629784 ,  3280293.837905788
369347.3330299501 ,  3280294.002619176
369347.4885477537 ,  3280294.104890899
369347.79164622823 ,  3280294.3168037212
369347.92945887835 ,  3280294.4235960436
369348.2128397765 ,  3280294.6539226305
369348.48865962547 ,  3280294.8748607025
369348.62856364035 ,  3280294.982808385
369348.88460051833 ,  3280295.1754503623
369349.0101885934 ,  3280295.278626538
369349.2241048576 ,  3280295.5164440423
369349.3157362649 ,  3280295.6362069603
369349.5220409316 ,  3280295.92316089
369349.62428805383 ,  3280296.073029861
369361.5052714893 ,  3280307.515277316
369361.60164422175 ,  3280307.6577410107
369361.77832594747 ,  3280307.952332473
369361.8321741606 ,  3280308.105544469
369359.8951188895 ,  3280309.5835078433
369359.9398420209 ,  3280309.7495938004
369360.02273445955 ,  3280310.081027169
369359.37353086704 ,  3280310.3200198496
369359.428212215 ,  3280310.63574311
369359.46863675484 ,  3280310.958284961
369361.7611429022 ,  3280308.4045747295
369361.7672236733 ,  3280308.727268051
369361.7672532828 ,  3280308.8898432846
369362.0594527185 ,  3280308.8394738226
369362.08264914766 ,  3280309.0003794357
369362.11456159793 ,  3280309.3002047045
369362.1416406424 ,  3280309.441320044
369362.7780417178 ,  3280308.5449866247
369362.81430630374 ,  3280308.7227480863
369362.88767308666 ,  3280309.0273212567
369362.75602447556 ,  3280308.824295884
369362.8899702149 ,  3280309.1334338062
369362.95487100893 ,  3280309.285060179
369363.0505279507 ,  3280308.940769595
369363.1728619518 ,  3280309.2622776316
369363.2296283032 ,  3280309.422136095
369363.24767723796 ,  3280309.493693416
369363.3023611381 ,  3280309.6641927254
369363.41216549993 ,  3280309.990189991
369363.4651692873 ,  3280310.15133743
369363.11473111925 ,  3280310.556900468
369363.1630419417 ,  3280310.7268693023
369363.25419722666 ,  3280311.0585353505
369363.4504670844 ,  3280310.608192772
369363.54235505796 ,  3280310.939691672
369363.5852579422 ,  3280311.1086890083
369364.41550066666 ,  3280310.3753847815
369364.46152761765 ,  3280310.545993542
369364.5435766899 ,  3280310.892163163
369364.5864862523 ,  3280311.068440514
369364.9401780641 ,  3280311.2108475696
369364.97602138756 ,  3280311.366957595
369365.06104047067 ,  3280311.683229955
369365.2065660564 ,  3280311.700746937
369365.2887654146 ,  3280312.0299291066
369365.36796439247 ,  3280312.388848536
369364.92902495124 ,  3280313.358285327
369364.9965343884 ,  3280313.7123843576
369365.0239063267 ,  3280313.88455945
369365.0298835274 ,  3280314.0986656686
369362.9925721561 ,  3280316.4564074515
369362.9110640956 ,  3280316.806750926
369362.88046645536 ,  3280316.8833313207
369361.14760051813 ,  3280317.2811078853
369361.08852948627 ,  3280317.430040646
369360.949722966 ,  3280317.752501736
369360.70857047633 ,  3280318.2010205747
369360.43982791784 ,  3280318.5042344057
369360.31176309875 ,  3280318.6360437497
369358.66171389417 ,  3280319.803887087
369358.52268608165 ,  3280319.927657209
369358.20922198636 ,  3280320.168768497
369356.7902606853 ,  3280321.3994862232
369356.6289631617 ,  3280321.492375413
369356.29690721096 ,  3280321.6491692564
369356.12942679966 ,  3280321.705517448
369355.8228916897 ,  3280321.6529327994
369355.6449645814 ,  3280321.6867937273
369355.2563490879 ,  3280321.689316535
369355.7074662433 ,  3280321.0244574207
369355.3305673835 ,  3280320.9831986027
369355.1608486999 ,  3280320.9552944335
369355.51159412443 ,  3280320.036455559
369355.3278581228 ,  3280320.036880689
369354.9592787606 ,  3280320.0072377557
