UTM E, UTM N
0.0 ,  0.0
0.0 ,  0.0
0.0 ,  0.0
369342.78211697564 ,  3280316.858288793
369342.78211697564 ,  3280316.858288793
369342.78211697564 ,  3280316.858288793
369342.78211697564 ,  3280316.858288793
369342.78211697564 ,  3280316.858288793
369342.6814399804 ,  3280316.5269631464
369342.6814399804 ,  3280316.5269631464
369342.6814399804 ,  3280316.5269631464
369342.6814399804 ,  3280316.5269631464
369342.6814399804 ,  3280316.5269631464
369342.9718460381 ,  3280316.5235782694
369342.6116868186 ,  3280316.539022854
369342.0961681398 ,  3280316.561245624
369341.53080499195 ,  3280316.569266837
369340.97953151335 ,  3280316.560426598
369342.0356725534 ,  3280316.73959188
369341.5058335865 ,  3280316.7321579494
369340.9476820879 ,  3280316.7493924587
369340.4034306364 ,  3280316.754369075
369339.8734281312 ,  3280316.746024826
369341.1408680255 ,  3280316.5232729907
369340.6262989447 ,  3280316.4849374285
369340.1180865966 ,  3280316.462792304
369339.57407022885 ,  3280316.479117226
369339.03001234005 ,  3280316.4934982876
369340.079959351 ,  3280316.3294852404
369339.5287150231 ,  3280316.3200655347
369338.98535998317 ,  3280316.289535242
369338.46422195627 ,  3280316.2447118443
369337.90323008597 ,  3280316.1743387165
369339.11738309555 ,  3280315.976533577
369338.5531926301 ,  3280315.940120834
369338.0022075027 ,  3280315.9322523787
369337.4666895575 ,  3280315.9732049834
369336.9393947272 ,  3280316.0280094016
369338.5397351797 ,  3280315.818688417
369337.99001273856 ,  3280315.86025253
369337.4247253857 ,  3280315.87223548
369336.9016535943 ,  3280315.871843169
369336.62600328296 ,  3280315.868281593
369336.0820950606 ,  3280315.849670592
369337.6874977252 ,  3280315.463959594
369337.0036217261 ,  3280315.41486207
369336.4400750602 ,  3280315.3689761087
369335.88574864133 ,  3280315.3015609724
369336.71037949855 ,  3280314.5560170077
369336.1698748647 ,  3280314.4472247087
369335.6378314608 ,  3280314.332555058
369335.07017452904 ,  3280314.184383008
369334.5769696155 ,  3280314.0330906287
369335.89215232746 ,  3280313.387893642
369335.40526662936 ,  3280313.1447854
369334.9090937839 ,  3280312.87355221
369334.40293385135 ,  3280312.576917524
369333.92265653104 ,  3280312.265321827
369335.15565680765 ,  3280312.2415809007
369334.6983348401 ,  3280311.8971092906
369334.24550916743 ,  3280311.524231361
369333.8130238426 ,  3280311.1383721596
369333.3949145493 ,  3280310.736994089
