UTM E, UTM N
369382.4749464277 ,  3280341.66564046
369382.4749464277 ,  3280341.66564046
369382.4749464277 ,  3280341.66564046
369382.66338490555 ,  3280341.220112651
369382.66338490555 ,  3280341.220112651
369382.66338490555 ,  3280341.220112651
369382.66338490555 ,  3280341.220112651
369382.66338490555 ,  3280341.220112651
369382.2710126126 ,  3280340.7813525866
369382.2710126126 ,  3280340.7813525866
369382.2710126126 ,  3280340.7813525866
369382.2710126126 ,  3280340.7813525866
369382.2710126126 ,  3280340.7813525866
369381.7831297687 ,  3280340.454538473
369381.7831297687 ,  3280340.454538473
369381.7831297687 ,  3280340.454538473
369381.7831297687 ,  3280340.454538473
369381.7831297687 ,  3280340.454538473
369381.49014179356 ,  3280340.2362864185
369381.49014179356 ,  3280340.2362864185
369381.49014179356 ,  3280340.238642613
369381.49014179356 ,  3280340.257492169
369381.49014179356 ,  3280340.3776580878
369381.0022589049 ,  3280339.909472337
369381.0022589049 ,  3280340.1851470927
369381.0022589049 ,  3280340.449040876
369381.0022589049 ,  3280340.842525356
369381.0022589049 ,  3280341.3043394755
369379.26370032167 ,  3280340.3140661344
369379.26370032167 ,  3280340.7805926437
369379.26370032167 ,  3280341.117528456
369379.26370032167 ,  3280341.6264664666
369379.26370032167 ,  3280342.02701953
369376.3583548791 ,  3280340.175827034
369376.3583548791 ,  3280340.175827034
369376.3583548791 ,  3280340.1805394227
369376.3583548791 ,  3280340.175827034
369376.3583548791 ,  3280340.359610204
369375.00312960596 ,  3280340.2882232326
369375.00312960596 ,  3280340.563897988
369375.00312960596 ,  3280340.8136546034
369375.00312960596 ,  3280341.068123608
369375.00312960596 ,  3280341.3013868625
369372.77023121854 ,  3280339.7482971055
369372.77023121854 ,  3280339.9650669983
369372.77023121854 ,  3280340.155918752
369372.77023121854 ,  3280340.4080315623
369372.77023121854 ,  3280340.8015160416
369370.5476637567 ,  3280340.0713532823
369370.5476637567 ,  3280340.4294948447
369370.5476637567 ,  3280340.759362073
369370.5476637567 ,  3280341.068023551
369370.5476637567 ,  3280341.3342735283
369366.9750368602 ,  3280340.910023679
369366.9750368602 ,  3280341.0443267655
369366.9750368602 ,  3280341.199835602
369366.9750368602 ,  3280341.3694816055
369366.9750368602 ,  3280341.5226342473
369365.236478764 ,  3280341.222728088
369365.236478764 ,  3280341.4394979817
369365.236478764 ,  3280341.5431705397
369365.236478764 ,  3280341.7316660993
369365.236478764 ,  3280341.842407241
369363.40499336645 ,  3280341.937344468
369363.40499336645 ,  3280342.0103864977
369363.40499336645 ,  3280342.168251529
369363.40499336645 ,  3280342.3237603656
369363.40499336645 ,  3280342.4745568126
369361.66772700276 ,  3280342.4009227254
369361.66772700276 ,  3280342.6648165085
369361.66772700276 ,  3280342.902792152
369361.66772700276 ,  3280343.1619735463
369361.66772700276 ,  3280343.4046615786
369359.5380876003 ,  3280342.4045362077
369359.5380876003 ,  3280342.666073796
369359.5380876003 ,  3280342.882843689
369359.5380876003 ,  3280342.986516246
369359.5380876003 ,  3280343.144381277
369357.591719581 ,  3280341.514637521
369357.591719581 ,  3280341.6418720237
369357.591719581 ,  3280341.747900776
369357.591719581 ,  3280341.9081220017
369357.591719581 ,  3280342.0165069485
369355.8467041095 ,  3280341.3580765002
369355.8467041095 ,  3280341.5206539202
369355.8467041095 ,  3280341.654957006
369355.8467041095 ,  3280341.7468485916
369355.8467041095 ,  3280341.996605208
369354.38434464496 ,  3280340.512017512
369354.38434464496 ,  3280340.75234935
369354.38434464496 ,  3280340.969119243
369354.38434464496 ,  3280341.2188758585
369354.38434464496 ,  3280341.355535139
369354.38434464496 ,  3280341.5204687533
369353.3982446485 ,  3280339.0590270245
369353.3982446485 ,  3280339.132069054
369353.3982446485 ,  3280339.318208419
